##########################################################################################################################################################
  d      a   C  C F d        d   eI     D   I  I   F     e   I     D   			F	a   I    he  g b  b      e   g      h   b   e    h                   #
#######################################################################################################################################################Ia#
   gaC#  D  #     #    b      #   a       #   g e  #     a        #     bC #    e b  Ig      #           #     #     #        g       C  g  F F       #  #
#  #  #  #F #  ####  #######  #ee#######e # a####b #  ####  ####  #I ####  ####  ##########I # g# F####  # b#  #C #  #g #########################  #### a#
#  #  F  #  # bD  #  #  d  #gF#e # d      #  #     # gC  #  hh #  #F #F       #  #        # I#  #  #a #   C #     # a#    a a #        #  e     #  d  #  #
####ee####  ####  #cc#  #  #  #  #### e####  #C ############# F####  #  ####  #  #  #######  # e#  #  #############  ##########  ####e #  ####h ####  # I#
#     #   aa#  g  #  #  #     # d   #  #     #  #b    #g g     #   C #  #  #     # I#        # C#  #hF#  egI#a    #     #I g  #     #    e# C#      e #  #
#bb####hh#### C####  #  #ee####### e####  ####  #  #  #b ####  #FC####  #  ####### g#  ####### e#  #  # C#  # g# F####I #  #  ####  #######  #b #######  #
#  d a#  d F   #     # F#  # g   #     #FI#     #  # IF  #   b #     #      gI Ca#  #     #     #  #a #  # g   #     I  #F #     #        #d #    F#  #  #
####hh#############aa####h #### h####  #db#  ####  ####### g#######  ##########  #  ####  #######  # d#  ####  ################  #### I#  #  ####  #  #  #
#   aa#F #g  b d  #  h  #  #     #    g#  #d      F#     # d#g    #    b#   e #g #d       #        # C   #  #b #   C    # h C #b #   d #  # b   # a# g#b #
#b ####hh#cc####hh####cc#cc#######  # C##########  #  #  ####  ####g #  #  #############  #############  #  #  #  ####  #  #  #######C ####  #  # d#a #  #
#  #     F  #  a       C#  #  #  #   d #a    #     #  #  h   a C  #     #  #  d  #        # b   #           #    d#  C he e#  #      e #   e #  #d #  #  #
#cc#aa#######gg##########hh# h#  #  #######  #  #  #  #############  ##########  #  ####  ####  #  ######################### d#######  ####  #  # g#  #  #
#  #        #  #       b   #F       #     #  #C #  #      bd#g       a  #     #  #  #     #   h #    F   g  #      C       gd  g    #    a#     #     #  #
#g ####ee#cc####  #############hh####  ####  #  #  #######  #######  #  # I#  #  #a #  ####  #############  #############  #######  ####  ##########  #  #
#h  g   d# db  #         b          b   e #  #  #  #      de#        # b#a #     #  #          C#       C#         a      a#     #        #       F  b#  #
############# b#########################  #  # a#  #  #######h #######  #  #######d #  #######  # F####  ###################  #  ################  ####  #
# gb        #cc#   F    #         g       # h#  #  #     # gg b#  adb#     #     h  #  # a      #     #         F #    g      #  #  a        #d e h   #  #
#  #######hh#I #  #### I####  #############  #  #  ####  # g####  # h####  # I####### C#  ##########  ##########  #############be#a #  #### e#  #######  #
# gg  a  #    C#  F  #  #     #  F   a #     #  #     #  #     #  #b #  # b#  #     #  #  a  #        #     #             h     a#  # e#    C#  #a    #I #
####hh#ee#############cc#  ####  #### h# e#  #######  #  ####  ####  #  #  #C #  ####  ####  # g#### g#  #  #  ###################  #  #  ####  #a #  #  #
#     #  #  I C#  D C#  #  #    a#d  g hI #bd  b#  I  #  #  #    I#  #     #  #  h d   #    a# C#     #  #  #     # e d #   C    #  #  #  #     #  # d#  #
#  ####hh#e #  #  # F#  #  #  ####  #  #######  #  ####d #  #### e#  #  #  #  ##########  ####  #  #### g#  ####  #  #  #  ####  #  #  #  #  #######  # b#
#F # b   #  #  #  # ea  # h   #     #       b#     #  #  #F #       d# e#e  h #   bh#  #       b# F   #e # I#     #  #  #  e  #   eF#  #     #     #  #  #
#### e#######Fa#  #############  ##########  #######  # C#  #  ################  #  #  ####F #######  #  # e#######  #  ####  #######  #######h #  #C #h #
#  b h#  a h#  I  #        #  #  #    C  e#     #   d   C#  #     #  h  #   d    #  #    g   #     #C    #    e#     #        #   C    #     I  #  #  #g #
#  ####  #b #cc####  ####b #  #  #  ####  ####  #  #  ####  ####  #  #  ##########I #### g####  #############  # C#a ##########  #######  #  ####  #F #  #
# e#  bI #e #   I h  # bI  #   g #     #  #  a  # h#     #  # b   # h#          d#     #     #  #              #  #   b h  # a#        #  #     #  #  #  #
#  #d ####  ####F ####  #############  #  #  ####  ####  #b #  #############  # a####  ####  #  #  #############C #######  #  ####### g#C ####  #  #  #  #
#cc#e #     #     #  I  #I       # d   #  #d # I a #F   b#  #    F#   hh      #  #  #   a #     #    e      #d a  #  #  g  #  g        #  #  #h # g  g#  #
#F #  #  ####  ####  ####  ####g # I#### g#  #  ####  #### d#  #  #  ####d ####  #F ####  ################dh# a#### e#  ################  #  #  # h####  #
#  #ee#   g  I #d   I  C#     #  #e d  #     #  #        I  #  #  Ib #     #  #     # I   #       I   #  #eb#  #a    #     # gb         e #  #  # Fg d#a #
#  # h####C ########## d#  # F#d # g##########  #  ##########  #######  #  #  #######  ####  ####### e#  #  #  #  #######  ################  #  ####  #  #
# C   a d#  # e    aI#     #  # F#e    #h       #      I          #     #  #   I #  #  #     #  #     #a    # I   # d  h#      h e g C C     # g#     #  #
#######  ####  ####  ##########  ####  ################### I####### a##########  # I#  ####  #  #  ####  ########## b#  #############g #######  #gh####  #
#F  e #     #     #h    #h    h  #  #  #   C #           #a #a #     #     g   b         I#     #    h#    d#  #  a  #     #      b #e #     #C # C#  #  #
#b #  #### e#  #######  #a #######  #  #  # g####  #######  #  #  ############# C# h#### F##########  ####  #  #  ########## C#  ####  #  #aF# b# h#  #  #
#  #  #  I  #  #a       #    gC  #  #e #  # d   #d       #  #  #d #         Fa# b#  #      Fg      #     #  #         g # a   #   gC  h#e #     #  Cb #  #
#  #C #######  #  #### g#######g # b#  #  #### a#######  #  #  #  #  #######h ####e #C ##########h ####  #  #  #######  #  # h##########  ##########Ca#  #
#  #  #   a #  #e # C#   a      e#  #  #  #     #  #     # b   # d#g #  b  #   d #I #  # a   #     #  b e#  #        # F I #b          #  #  #     I  #  #
#  #d #  # b####I #  #############  #  #  #  ####  # h##########  #  #  #  ####  #  ####  #  #######  ####  ######################  #  #  #  # b#######  #
#I #  #  #        #     bgh      # b#  #  # d   #  #       g#  #  #     #  #d    #hI  F   #  #C    # d  C#  #  db #   d     hd#  # F#h #  #h geI#F    #  #
#  #### I##########  ####  ####hF#e #  #  ####  #  #######he# d#  ##########  #############  #  #  ####  #  #  #d #  #######  #  #  ####h ####### b#b #  #
#  #     #  h I      #a #  C  # g#e #  #  # e   # hg   h #    a   #   e     Ca#     h  a    C#  #     #  #  #C #  #  # I  C#  #   dI#e    #dh      #  #  #
#  #  ####  ##########  ####  # h#  #a #  #  #### g####  #F #######  ##########  #############  ####  #  #  #  #  #  ####  # h#  ####  ####  #######  #  #
#     #   b # C      #F #  F  # a  g#  #F #  b  #F    # I#        #  C  #     #ba#  F           #I  b #  # h  e# h  F#  dd    # a#  #  #aF  I#  h     #  #
####### I####  #### F#  # b#######  #  #F ####  #######  #############  ####a #  ################  ####  #############  #######  # F#  ####  # C#######  #
#   hb#        #  F  #I       I  #d #e #  #  #  h b   #  h  Ce          #     #       a   #C    b a  g#     #  I        #      e #     d  #  #     #  #  #
#  # a##########dF############# C#  #a #  #  # d####  #  ################  ############# e#  ####  #######  #  ####  ####  #############  #  ####  #  #  #
#  #              #         b #  #     #  # h#  #  d  #  #   g a  #h          #    F   #   F   g#  #    F   #    I#  #   g # I F       #  #h   a#     #d #
#h ################F ##########  #######  #  #### F#  #  #######  #######  #dg#######  #######  #  # F########## I#  #  ####  ##########  #  #  #######  #
#   I    #        #  #     F     #     # a# a      # d#F #     # e   a     # I   #bI#           #  #        #   b #  #  #F #        F geF #  #h #  e  # g#
#######  # I####a #  #### C#######F # b#  #############  #  # F################  #d ############# C#######  #######  #  #  #############  ####ha#  #b # h#
#     #  #  #     # e   ad         g#I # h   #    b a #  #  #  #     # a      #h      b      C g#   b   C  Cg  #  #  #  # a      #  d        F  #  #  #b #
#  #F #h #  ####  #######  #######g #  ####  #  #### F#  #  #  #  #  #  ####  ################  ##########  #  #g #ge#  # I#### F# e####  #######  #  #  #
#  #  #  #  h  #        #     #     #b #d    #  #     #b    #Cd   #     #     #    g#h          #   g # Fa  #e #  #   aaC     #   F #   g # C    a #  #  #
#  # a#  #### h#############h #  ####  #  ####b ################ C####### a####  #  #######  ####  #  #  ####  #  ##########  ####### C####  #######  #  #
#  #     #       F# a e  d    #  F  #  b     # e# g b       #  #d # h C #   a #  #   b      C#     # d#     #  #d       #     #  F     #     #     b  # b#
#  ####### F####  #  #############  #######  #  #  #######  #  #F #g # d####b #  ########## g#  ####  ####### h#  ####  # d#  #  #######  #  #  #######  #
#           # aF  #  # F   #     #     #     #  b  #        #       d#     #  #  #        #  #  #     #  e  dF #I eF #   d # g#        #e #h # C     e#  #
#############  ####  ####e # d#######I #  ##########a ########## a#######  #### C#F ####h ####  #######  ##########  #######  #######e #  #g # I#### C#  #
#     #dh     a#  #  dh    #   I # e   #  h    d   # hF  a  #  #     #  #     # h#  #     #e     a    #  #           #     #  e I   #  #  #  #    b#  #  #
####  #  #######  #############  #  ####I #######d #######  #  ####  #  ####  #  #  #h ####  # F#  ####  #  #### b#######  ####### F#I ####  ####  #I #  #
#  dd    #  d  #   d    #     # F   #d    #    e# e      #  #d #    e#  #F   F#     # C      #  #IF      # I# a# g      aa # C   # b# a    a # d   #  #  #
